Ano,title,Rating,Duração,Taxa_Liked_Watched,Id,atributos
2017,‘Bingo: O Rei das Manhãs’,3.9,113,0.23,29,"Bingo: The King of the Mornings Daniel Rezende 1980s. Brazilian television exploding in color and auditorium programs not so politically correct. In the middle of this fervor, Augusto Mendes, a young rising actor, seeks his place in the sun. From porn studios to soap operas, he finally finds success and fame when he becomes “Bingo”, a TV host clown from one of the audience leader TV shows for children. It turns out that behind the rice powder and red nose, nobody knows who he is. drama comedy --"
1963,‘Vidas Secas’,3.9,100,0.2,30,"Barren Lives Nelson Pereira dos Santos In vivid images, the documentary-like story of a drover and his family in the northern badlands of Brazil during the drought. A family in the search of new hope and destiny. drama -- --"
2020,‘Emicida: AmarElo - É Tudo Pra Ontem’,4.5,89,0.42,31,"Emicida: AmarElo - It’s All for Yesterday Fred Ouro Preto Between scenes from his concert in São Paulo’s oft-inaccessible Theatro Municipal, rapper and activist Emicida celebrates the rich legacy of Black Brazilian culture. documentary music --"
2019,‘Minha Mãe é uma Peça 3: O Filme’,3.7,111,0.19,32,My Mom is a Character 3 Susana Garcia Dona Hermínia will have to rediscover and reinvent herself because her children are forming new families. This supermom will have to deal with a new life scenario: Marcelina is pregnant and Juliano is getting married. comedy -- --
2007,Ratatoing,1.7,44,0.15,33,"Ratatoing Michelle Gabriel Marcelle Toing, owner of the best restaurant in Rio de Janeiro, must go on missions to steal ingredients from human restaurants to keep his meals the best. family comedy animation"
2003,‘O Homem Que Copiava’,3.9,123,0.21,34,"The Man Who Copied Jorge Furtado André, 19, lives in Porto Alegre, Brazil, and works as a photocopier operator. He likes to see his neighbor Sílvia with a pair of binoculars. She works selling clothes. Becoming attracted to her, he tries to get nearer, and goes to her shop to buy something, but finds out that he can’t afford it. So he puts the photocopier to other uses, and begins to envisage fishy schemes to earn some money. drama comedy crime"
2003,‘Lisbela e o Prisioneiro’,4.0,106,0.24,35,"Lisbela and the Prisoner Guel Arraes Lisbela is a young woman who loves going to the movies. Leléu is a con man, going from town to town selling all sort of things and performing as master of ceremonies for some cheesy numbers, such as the woman who gets transformed into a gorilla. He gets involved with Linaura, a sexy and beautiful woman who happens to be the wife of the most frightening hitman of the place. The hitman finds out his wife’s affair and goes after Leléu, who has to leave in a hurry. In another town, he meets and falls instantly in love with Lisbela, who is engaged to Douglas, a hillbilly who tries hard to pass for a cosmopolitan Rio de Janeiro dweller. × comedy romance --"
2019,‘Turma da Mônica: Laços’,3.6,97,0.24,36,"Monica and Friends: Bonds Daniel Rezende Fluffy, Jimmy Five’s pet dog, vanished. He develops an infallible plan to rescue the little dog, but, he will need help from his faithful friends: Monica, Maggy and Smudge. Together, they will face challengers and live incredible adventures to get Fluffy back home. adventure comedy family"
2021,‘7 Prisioneiros’,3.6,93,0.22,37,7 Prisoners Alexandre Moratto An impoverished teen seeking to escape the clutches of a human trafficker must weigh living up to his moral code against his struggle to survive. drama crime --
1968,‘O Bandido da Luz Vermelha’,4.1,92,0.3,38,"The Red Light Bandit Rogério Sganzerla Born and raised in the misery of Brazilian slums, Jorge becomes a luxury house burglar in São Paulo and gets nicknamed “The Red Light Bandit” by the sensationalist press. In addition to wearing a red flashlight, he talks to his hostages in an irreverent tone and makes bold breakthroughs to later spend the money extravagantly. His world is the decadent neighbourhood of Boca do Lixo. crime thriller --"
2002,‘Ônibus 174’,3.9,118,0.16,39,"Bus 174 José Padilha Documentary depicts what happened in Rio de Janeiro on June 12th 2000, when bus 174 was taken by an armed young man, threatening to shoot all the passengers. Transmitted live on all Brazilian TV networks, this shocking and tragic-ending event became one of violence’s most shocking portraits, and one of the scariest examples of police incompetence and abuse in recent years. documentary -- --"
2013,‘Tatuagem’,4.0,110,0.3,40,"Tattoo Hilton Lacerda Paulete, the star of a daring theater group, is visited by his military brother-in-law, the young Fininha. A torrid relationship arises between the two, and now the soldier must deal with the prevailing repression during the Brazilian military dictatorship. drama -- --"
2017,‘O Animal Cordial’,3.4,98,0.18,41,"Friendly Beast Gabriela Amaral Almeida A restaurant owner going over the edge when an armed robbery is attempted at his establishment. He holds everyone captive at gunpoint – criminals and customers alike – and situations corrode into a nightmare state, guided by manipulation and raw compulsion. thriller horror crime"
2021,‘Turma da Mônica: Lições’,4.1,97,0.41,42,"Monica and Friends: Lessons Daniel Rezende In the sequel to Turma da Mônica: Laços, we follow Mônica, Jimmy Five, Maggy and Smudge dealing with the consequences of a mistake made at school. At the same time, they face transformations from childhood to adolescence and are about to discover the value of friendship. drama family comedy"
1967,‘Esta Noite Encarnarei no Teu Cadáver’,3.9,109,0.26,43,"This Night I’ll Possess Your Corpse José Mojica Marins Coffin Joe is still looking for the perfect woman to give birth to a son of his, and, cleared of the past crimes in At Midnight I’ll Take Your Soul, keeps terrorizing the people in his small town with his iconoclast and sadistic practices. horror -- --"
2011,‘O Homem do Futuro’,3.5,106,0.2,44,"The Man from the Future Cláudio Torres Zero  is a brilliant scientist, but unfortunate because 20 years ago was publicly humiliated and lost in college Helena the love of his life. One day, an accidental experience with one of his inventions makes him travel in time, more precisely, to the past. After the chance to change his story, Zero returns to this totally changed. fantasy comedy romance"
2016,‘Minha Mãe é uma Peça 2: O Filme’,3.4,96,0.13,45,"My Mom is a Character 2 César Rodrigues Dona Hermínia is back, but now rich and famous since she is the host of her own successful TV show. However, the overprotective character will have to deal with her children’s departures, as Marcelina and Juliano decide to move out. In counterpart, she will welcome, as a visitor, her sister Lúcia Helena, who’s been living in New York. comedy -- --"
2017,‘Arábia’,3.9,98,0.31,46,"Araby João Dumans André, a teenager, lives in an industrial town in Brazil near an old aluminum factory. One day, a factory worker, Cristiano, suffers an accident. Asked to go to Cristiano’s house to pick up clothes and documents, André stumbles on a notebook, and it’s here that Araby begins — or, rather, transforms. As André reads from the journal entries, we are plunged into Cristiano’s life, into stories of his wanderings, adventures, and loves. drama -- --"
2010,‘Eu Não Quero Voltar Sozinho’,4.0,17,0.22,47,"I Don’t Want to Go Back Alone Daniel Ribeiro The arrival of a new student in school changes Leonardo’s life. This 15 year-old blind teenager has to deal with the jealousy of his friend Giovana while figuring out the new feelings he’s having towards his new friend, Gabriel. romance drama --"
2015,Califórnia,3.7,90,0.32,48,"Califórnia Marina Person The year is 1984. Estela is going through the turbulent phase of adolescence. Sex, lovers, friendships; everything seems very complicated. Her uncle Carlos is her hero, and visiting him in California is her biggest dream. But everything collapses when he returns thin, weak and ill. Between crises and discoveries, Estela will face a reality that will forever change her way of seeing the world.​ drama -- --"
2010,Reflexões de um Liquidificador,3.9,80,0.3,49,"Reflexões de um Liquidificador André Klotzel After receiving a patch, a blender gains consciousness and begin to think about life, the human and the lifetime of electronics. When a man disappears, the blender remains the only company of his wife. comedy thriller --"
2021,‘A Nuvem Rosa’,3.3,105,0.18,50,"The Pink Cloud Iuli Gerbase Giovana and Yago are strangers who share a spark after meeting at a party. When a deadly cloud mysteriously takes over their city, they are forced to seek shelter with only each other for company. As months pass and the planet settles into an extended quarantine, their world shrinks, and they are forced to come to terms with an accelerated timeline for their relationship. With all their other interactions governed by screens, and with the strain of isolation setting in, Giovana and Yago struggle to reinvent themselves and reconcile the differences that threaten to tear them apart. × drama science-fiction --"
2007,‘Saneamento Básico: O Filme’,4.0,112,0.29,51,"Basic Sanitation: The Movie Jorge Furtado When they discover their town lacks funding for a sewage system, but does have a federal grant to make a movie, a group of villagers decide to make a sci-fi joint about a monster who lives in the building site of a septic tank. comedy -- --"
1957,"Rio, Zona Norte",4.3,83,0.35,52,"Rio, Zona Norte Nelson Pereira dos Santos A talented songwriter of sambas is forced to face the social injustices of the city around him. music drama --"
1969,‘Matou a Família e Foi ao Cinema’,3.8,78,0.27,53,"Killed the Family and Went to the Movies Júlio Bressane A man living with his parents in a low middle-class apartment in Rio de Janeiro coldly stabs them with a razor and then goes to the movies. Marcia, a rich and dissatisfied young woman, takes advantage of a trip from her husband to go to her home in Petrópolis, where she receives a visit from an old friend, Regina. drama horror comedy"
2013,‘Flores Raras’,3.7,118,0.24,54,"Reaching for the Moon Bruno Barreto In 1951, New York poet Elizabeth Bishop travels to Rio de Janeiro to visit Mary, a college friend. The shy Elizabeth is overwhelmed by Brazilian sensuality. She is the antithesis to Mary’s dashing partner, architect Lota de Macedo Soares. Mary is jealous, but unconventional Lota is determined to have both women at all costs. This eternal triangle plays out against the backdrop of the military coup of 1964. Bishop’s moving poems are at the core of a film which lushly illustrates a crucial phase in the life of this influential Pulitzer prize-winning poet. × drama romance --"
2019,‘Estou Me Guardando para Quando o Carnaval Chegar’,4.1,85,0.3,55,"Waiting for the Carnival Marcelo Gomes A documentary film about the Brazilian town of Toritama, the self-proclaimed capital of jeans. The workers of the city’s self-managed small businesses only get one real break from their self-exploiting lives in the textile business: the annual Carnival. documentary -- --"
2020,‘Eduardo e Mônica’,3.9,114,0.38,56,"Eduardo and Monica René Sampaio On an unusual day, a series of coincidences lead Eduardo to meet Monica at a party. A curiosity is aroused between the two and, despite not being alike, they fall madly in love. In 1980s Brasília, their love needs to mature and learn to overcome differences. drama romance --"
2020,‘Modo Avião’,2.4,96,0.06,57,"Airplane Mode César Rodrigues When Ana, an influencer, crashes her car while talking on the phone, she’s shipped to her grumpy grandfather’s farm – and forced into a digital detox. romance comedy drama"
2006,‘O Céu de Suely’,4.0,90,0.27,58,"Love for Sale Karim Aïnouz In northern Brazil, Hermila patiently waits for her husband. However, he has abandoned her. Sexy, restless and resolute, she raffles off “a night in paradise” with herself. This beautifully-shot portrait doesn’t shy away from the burdens of a young scarred woman, but it also celebrates her courage to live according to her own rules. drama -- --"
1969,‘Macunaíma’,3.6,110,0.19,59,"Macunaima Joaquim Pedro de Andrade Born a fully grown black man in a village in the Brazilian jungle, Macunaíma later magically transforms into a white man before making an adventure-filled trip to the city of São Paulo. Once there, he becomes something of a dandy, falling in love with Ci, a revolutionary who dies in an accidental bombing. After robbing a ruthless industrialist, Macunaima returns to his village where he finds his newly acquired knowledge and possessions of little use. comedy fantasy --"
2014,Casa Grande,3.3,117,0.14,60,"Casa Grande Fellipe Barbosa As a privileged teenager living in an affluent suburb of Rio de Janeiro, Jean has little to worry about beyond games, grades and girls. But as his overbearing father drags the family into debt, Jean is forced into a change of lifestyle which opens his eyes to the world beyond his ‘casa grande’ - not least that of the feisty, mixed-race firecracker Luiza. Cultures, classes and generations collide in this engrossing coming-of-age drama from Brazil. drama -- --"
2009,"‘Viajo Porque Preciso, Volto Porque Te Amo’",3.8,72,0.28,61,"I Travel Because I Have to, I Come Back Because I Love You Karim Aïnouz José Renato, a 35-year-old geologist, is sent out on a solitary expedition to the hinterlands of northeastern Brazil. The purpose of the trip is to assess possible routes for a canal that will connect the area with the only major river in the region. As the field trip progresses, it becomes clear that Renato shares with those places the same emptiness, sense of abandonment and isolation. drama -- --"
2017,‘Como Nossos Pais’,3.5,102,0.18,62,"Just Like Our Parents Laís Bodanzky Rosa is in her late 30s, a child of the 1970s with divorced parents. She lives with her own family in São Paulo. Overwhelmed by an eruption of individual passions, lies and the expectations of three generations, she tries to discover who she really is. drama -- --"
1997,"‘O Que é Isso, Companheiro?’",3.7,110,0.19,63,"Four Days in September Bruno Barreto Fernando, a journalist, and his friend César join terrorist group MR8 in order to fight Brazilian dictatorial regime during the late sixties. Cesare, however, is wounded and captured during a bank hold up. Fernando then decides to kidnap the American ambassador in Brazil and ask for the release of fifteen political prisoners in exchange for his life. thriller drama history"
2005,‘Dois Filhos de Francisco’,3.3,132,0.06,64,"Two Sons of Francisco Breno Silveira The story of Francisco, a very simple and poor man whose dream was to see his children become country music stars, and who made all the efforts to make it happen. history music drama"
2018,Bixa Travesty,4.0,75,0.32,65,"Bixa Travesty Kiko Goifman A portrait of transgender musician and artist Linn da Quebrada, who uses her body and performances as weapons to fight sexism, homophobia, and racism. documentary -- --"
2002,‘Amarelo Manga’,3.8,103,0.22,66,"Mango Yellow Cláudio Assis In a poor neighborhood in Recife, the lives of exotic and bizarre characters entwine in a bar and in a very low-budget hotel. The queer Dunga works in the hotel and has a crush on the butcher Wellington that is married with the religious Kika and has an affair with his mistress Dayse. The sick necrophiliac Isaac owns a yellow Mercedes Benz and wants to have sex with Lígia that owns of Bar Avenida. drama -- --"
2016,‘Nise: O Coração da Loucura’,4.0,106,0.23,67,"Nise: The Heart of Madness Roberto Berliner After being released from prison, Dr. Nise da Silveira is back at work in a psychiatric hospital on the outskirts of Rio de Janeiro where she refuses to employ the new and violent electroshock in the treatment of schizophrenics. Ridiculed by doctors, she is forced to take on the abandoned Sector for Occupational Therapy, where she would start a revolution through paintings, animals and love. drama -- --"
2011,‘O Palhaço’,3.7,90,0.16,68,"The Clown Selton Mello The life of the owners of Circus Esperança, Puro Sangue e Pangaré, father and son, who plays two clowns. At a certain point, Pangaré starts showing tiredness and sadness for being an unhappy clown. comedy drama --"
1965,"‘São Paulo, Sociedade Anônima’",4.1,111,0.27,69,"São Paulo, S.A. Luiz Sérgio Person Carlos is a young man from the São Paulo middle class who works for a big company during a time when foreign automobile industries were settling in Brazil. Shortly after, he accepts a job at a factory that makes automobile parts, where he becomes manager. To a certain extent, he is a family man who works hard, earns well and lives unsatisfied. Without any prospects in his life to change the condition he rejects, his last resort is escaping. drama -- --"
1980,‘A Idade da Terra’,3.9,148,0.23,70,The Age of the Earth Glauber Rocha Four Third-World Christs try to stop the American industrialist John Brahms in Glauber Rocha’s experimental film inspired by Pier Paolo Pasolini’s murder. drama -- --
1955,"‘Rio, 40 Graus’",4.0,100,0.24,71,"Rio, 40 Degrees C. Nelson Pereira dos Santos Banned by Brazil’s Federal Department of Public Safety, Rio, 40 Graus is a landmark film that ushered in the wave of Cinema Novo in Brazil. The film chronicles a day in the life of five peanut vendors from Rio de Janeiro’s favelas. This was one of the first Brazilian films to address the issues of race, poverty, and class. drama -- --"
2019,‘M-8: Quando a Morte Socorre a Vida’,3.4,84,0.19,72,"M8 - When Death Rescues Life Jeferson De When Maurício becomes a student at a top medical school, he becomes obsessed with a mystery linked to the dead bodies used for dissection. thriller drama --"
2005,"‘Cinema, Aspirinas e Urubus’",3.8,99,0.24,73,"Cinema, Aspirins and Vultures Marcelo Gomes 1942, in the middle of Northeastern Brazil, two very different men meet along the road: Johan, an aspirin salesman avoiding the German draft, and Ranulpho, a rural Brazilian seeking escape from the drought. drama -- --"
2018,‘Morto Não Fala’,3.2,110,0.16,74,"The Nightshifter Dennison Ramalho Stênio, the nightshifter of a morgue, has the ability to communicate with the cadavers that are brought to him every night. horror thriller mystery"
1976,‘Dona Flor e Seus Dois Maridos’,3.7,110,0.21,75,"Dona Flor and Her Two Husbands Bruno Barreto In a small city of Brazil, Flor, a cooking teacher, marries Vadinho, a very handsome and erotic man. Once married she finds he is a good-for-nothing who takes all her money to gamble. After his death, Flor misses the goods of the marriage so she marries again with a very correct gentleman - the owner of a drugstore. Now she’s very happy with her man, but misses the erotic moments with her previous husband. One day, Vadinho comes back as a ghost to quench her desires. fantasy romance drama"
2019,Alice Júnior,3.5,90,0.25,76,"Alice Júnior Gil Baroni This is the story of Alice Junior, a transgender girl full of life, who wants to give her first kiss, but first, she just wants to be who she really is. romance comedy drama"
2017,‘Café com Canela’,3.9,102,0.32,77,"Coffee with Cinnamon Ary Rosa Five friends drink beer and chat at Violeta’s house. Bit by bit, their stories of love, loss and suffering are told, revealing the acts of love and friendship that helped them through the hardest times of their lives. drama -- --"
2015,‘Entre Abelhas’,3.5,83,0.21,78,"A Man Amidst Bees Ian SBF Bruno is a young film editor who has just broke up his marriage with Regina, and returned living in his mother’s house. Drowned in deep sorrow, something very weird happens in his life: people around him are gradually disappearing. But only for him. Some kind of blindness. drama comedy --"
2006,‘O Ano em Que Meus Pais Saíram de Férias’,3.7,104,0.14,79,"The Year My Parents Went on Vacation Cao Hamburger A boy is left alone in a Jewish neighborhood in the year of 1970, where both world cup and dictatorship happen in Brazil. drama -- --"
2016,‘Mãe Só Há Uma’,3.3,82,0.13,80,"Don’t Call Me Son Anna Muylaert Pierre is seventeen and in the middle of puberty. He plays in a band, has sex at parties and secretly tries on women’s clothing and lipstick in front of a mirror. Ever since his father’s death, his mother Aracy has looked after him and his younger sister Jacqueline, spoiling them both. But when he discovers that she stole him from a hospital when he was a new born baby, Pierre’s life changes dramatically. In her new film, director Anna Muylaert explores the mother-child relationship through the eyes of a rebellious son whose whole world unravels overnight. × drama -- --"
2006,‘O Cheiro do Ralo’,3.6,112,0.18,81,"Drained Heitor Dhalia A pawn shop proprietor buys used goods from desperate locals – as much to play perverse power games as for his own livelihood, but when the perfect rump and a backed-up toilet enter his life, he loses all control. comedy -- --"
2014,Tim Maia,3.6,140,0.18,82,"Tim Maia Mauro Lima Biopic of Brazilian singer Tim Maia, from his childhood in Rio de Janeiro until his death at age 55, including his passage by the US, where he discovers a new style of music and is arrested for theft and drug possession. history drama music"
2011,‘Bruna Surfistinha’,3.1,109,0.07,83,"Confessions of a Brazilian Call Girl Marcus Baldini Rachel is a girl, adopted by an upper middle class family, who rebelled at 17 and left her family and studies at a traditional college in Sao Paulo to become a call girl. Shortly after starting work, she decided to write a blog about her experiences. Since some clients thought she looked like a surfer she adopted the name “Surfistinha” which means little surfer girl. drama -- --"
1985,‘A Hora da Estrela’,3.8,96,0.22,84,"Hour of the Star Suzana Amaral Macabéa has just moved to the big city after her aunt, who raised her, died. She gets a job as a typist and moves into a boarding house with three other women. In her spare time, she listens to a radio station called Time; on Sundays, she likes to ride the metro. Then she meets Olímpico, a northeasterner like herself, who has dreams of becoming a congressman. drama comedy --"
